Column Name,Data Type,Semantic Type,Example Value,Unique Values,Missing Count,Missing %,Description
bi,float64,Numeric,70.0,127,0,0.0,No description available
vpd,float64,Numeric,1.26,579,0,0.0,No description available
erc,float64,Numeric,79.0,114,0,0.0,No description available
pr_5D_mean,float64,Numeric,0.0,758,0,0.0,No description available
tmmn_5D_mean,float64,Numeric,273.0,3339,0,0.0,No description available
tmmx_5D_mean,float64,Numeric,290.1,3832,0,0.0,No description available
rmin_5D_mean,float64,Numeric,2.7,763,0,0.0,No description available
rmax_5D_mean,float64,Numeric,35.6,832,0,0.0,No description available
sph_5D_mean,float64,Numeric,0.0013639999,9894,0,0.0,No description available
vs_5D_mean,float64,Numeric,3.12,455,0,0.0,No description available
th_5D_mean,float64,Numeric,281.4,1627,0,0.0,No description available
srad_5D_mean,float64,Numeric,134.90001,18684,0,0.0,No description available
etr_5D_mean,float64,Numeric,4.84,830,0,0.0,No description available
fm100_5D_mean,float64,Numeric,4.7,243,0,0.0,No description available
fm1000_5D_mean,float64,Numeric,9.5,282,0,0.0,No description available
bi_5D_mean,float64,Numeric,64.2,524,0,0.0,No description available
vpd_5D_mean,float64,Numeric,1.08,552,0,0.0,No description available
erc_5D_mean,float64,Numeric,77.2,546,0,0.0,No description available
pr_5D_min,float64,Numeric,0.0,41,0,0.0,No description available
pr_5D_max,float64,Numeric,0.0,579,0,0.0,No description available
tmmn_5D_max,float64,Numeric,273.0,397,0,0.0,No description available
tmmx_5D_max,float64,Numeric,290.1,438,0,0.0,No description available
rmin_5D_min,float64,Numeric,1.0,676,0,0.0,No description available
rmax_5D_min,float64,Numeric,27.7,892,0,0.0,No description available
sph_5D_min,float64,Numeric,0.00098,1276,0,0.0,No description available
vs_5D_max,float64,Numeric,3.2,141,0,0.0,No description available
th_5D_max,float64,Numeric,318.0,348,0,0.0,No description available
srad_5D_max,float64,Numeric,134.90001,2903,0,0.0,No description available
etr_5D_max,float64,Numeric,5.0,221,0,0.0,No description available
fm100_5D_min,float64,Numeric,4.6,227,0,0.0,No description available
fm1000_5D_min,float64,Numeric,9.5,273,0,0.0,No description available
bi_5D_max,float64,Numeric,65.0,136,0,0.0,No description available
vpd_5D_max,float64,Numeric,1.14,624,0,0.0,No description available
erc_5D_max,float64,Numeric,78.0,115,0,0.0,No description available
tmmn_Percentile,object,Categorical,>90%,1,0,0.0,No description available
tmmx_Percentile,object,Categorical,>90%,1,0,0.0,No description available
sph_Percentile,object,Categorical,<10%,6,0,0.0,No description available
vs_Percentile,object,Categorical,30-50%,6,112,0.2201,No description available
fm100_Percentile,object,Categorical,<10%,6,7,0.0138,No description available
bi_Percentile,object,Categorical,>90%,6,44,0.0865,No description available
vpd_Percentile,object,Categorical,95-98%,12,63,0.1238,No description available
