,count,mean,std,min,5%,25%,50%,75%,95%,max
tmmn,50881.0,285.64261122764447,5.478075929101437,257.3999938964844,276.0,282.29998779296875,285.8999938964844,289.29998779296875,294.20001220703125,305.1000061035156
tmmx,50881.0,301.4723983533432,7.181444386004487,269.29998779296875,289.1000061035156,296.5,302.0,307.0,312.1000061035156,322.70001220703125
rmin,50881.0,25.01186536313209,14.15628651975787,1.0,6.5,15.0,22.39999961853028,32.10000228881836,53.20000076293945,100.0
rmax,50881.0,68.19078741528881,20.463233694820076,8.0,33.79999923706055,52.70000076293945,68.80000305175781,84.9000015258789,100.0,100.0
sph,50881.0,0.006694585627517568,0.0023376260293230806,0.0003299999807495,0.0027899998240172,0.0051299999468028,0.0067499997094273,0.0081799998879432,0.0105599993839859,0.0176400002092123
vs,50881.0,3.29657829052102,1.422716049241193,0.4,1.6,2.4,3.0,3.9,6.0,14.9
th,50881.0,231.30701047542306,78.63152978421597,0.0,75.0,182.0,243.0,299.0,330.0,360.0
srad,50881.0,283.56459501468566,75.65441467797004,5.599999904632568,132.8000030517578,235.8000030517578,310.0,344.8999938964844,363.2000122070313,389.3999938964844
etr,50881.0,7.827839468563902,2.980400914425296,0.1,2.9,5.8,7.8,9.7,12.9,24.7
fm100,50881.0,9.767241209881881,3.727291298716013,1.9,4.9,6.9,9.0,12.2,16.6,30.3
fm1000,50881.0,10.936569642892238,3.7740728506203887,2.8,6.0,8.1,10.3,13.2,17.8,34.6
bi,50881.0,45.69784398891531,20.060969691967237,0.0,0.0,36.0,47.0,58.0,76.0,143.0
vpd,50881.0,1.8062074251685305,0.9683395777671076,0.0,0.46,1.06,1.69,2.44,3.56,7.48
erc,50881.0,59.848293076000864,19.224426559406243,0.0,28.0,46.0,61.0,75.0,89.0,114.0
pr_5D_mean,50881.0,0.4616493386529352,1.8389487784648113,0.0,0.0,0.0,0.0,0.0,2.54,54.14
tmmn_5D_mean,50881.0,285.58037982390283,5.242464450626628,258.0,276.36002,282.40002,285.82,289.13998,293.66,305.12
tmmx_5D_mean,50881.0,301.3148625237318,6.770452309106161,272.34,289.48,296.7,301.82,306.46002,311.37997,320.72003
rmin_5D_mean,50881.0,25.500367524223186,12.559607972383324,1.0,8.7,16.6,23.4,32.2,50.2,93.4
rmax_5D_mean,50881.0,68.62153063029422,18.05660356913011,13.1,37.5,55.4,69.5,83.1,96.4,100.0
sph_5D_mean,50881.0,0.006712095002688036,0.0021495966393617594,0.00057800004,0.0031019996,0.0053,0.0067379996,0.00808,0.010282,0.016392
vs_5D_mean,50881.0,3.279160393860183,1.053850495741554,0.56,1.94,2.58,3.1,3.8,5.2,12.5
th_5D_mean,50881.0,231.8141939034217,61.44041344800034,2.0,122.0,191.0,236.6,281.8,316.8,356.0
srad_5D_mean,50881.0,283.2693178628958,73.04564309579561,34.280003,133.3,240.54,308.26,341.44,360.82,387.76
etr_5D_mean,50881.0,7.752982449244317,2.749054898750994,0.38,3.12,5.9,7.78,9.58,12.28,22.1
fm100_5D_mean,50881.0,9.809663725162634,3.6244794636737994,2.0,5.0,7.0,9.1,12.1,16.5,30.0
fm1000_5D_mean,50881.0,10.943587979795996,3.775236962496965,2.8,6.0,8.1,10.3,13.2,17.9,34.1
bi_5D_mean,50881.0,46.17312945893358,16.335569612462418,0.0,18.8,35.0,46.4,57.4,72.6,116.2
vpd_5D_mean,50881.0,1.785765806489652,0.8858519908608153,0.0,0.53,1.11,1.69,2.36,3.37,6.15
erc_5D_mean,50881.0,59.96075548829622,18.846490525321954,0.0,27.8,46.4,61.0,74.4,88.6,112.8
pr_5D_min,50881.0,0.005353668363436253,0.20922991010320774,0.0,0.0,0.0,0.0,0.0,0.0,34.6
